unique_id,disease,location,event,start_date,end_date,duration,total,entropy
1,RSV,ND,HOSPITALIZATIONS,2024-06-22 00:00:00,2025-05-31 00:00:00,41,459.0,3.99608733656588
2,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2010-10-16 00:00:00,2011-08-06 00:00:00,34,90.2390218,4.7465338847562855
3,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2012-06-16 00:00:00,2012-12-08 00:00:00,17,54.807999,4.324231472991187
4,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2012-10-13 00:00:00,2013-08-03 00:00:00,34,153.295142,4.996653084264613
5,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2013-06-08 00:00:00,2013-12-21 00:00:00,20,42.58717600000001,4.264463875136378
6,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2013-10-26 00:00:00,2014-05-31 00:00:00,23,31.821822,4.784147515208709
7,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2014-04-05 00:00:00,2014-11-29 00:00:00,26,26.885318000000005,4.986569959551204
8,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2014-10-04 00:00:00,2015-07-25 00:00:00,34,64.456523,5.014473497297441
9,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2015-05-30 00:00:00,2015-12-05 00:00:00,19,17.725243999999996,4.727635587714539
10,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2015-10-10 00:00:00,2016-02-13 00:00:00,10,9.928703,4.186260814463824
11,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2015-12-19 00:00:00,2016-07-02 00:00:00,20,18.015999999999995,4.676553600517007
12,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2016-05-07 00:00:00,2016-09-10 00:00:00,10,7.0255540000000005,4.175697344323517
13,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2016-07-16 00:00:00,2016-11-05 00:00:00,8,5.358497,4.027402345591613
14,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2016-09-10 00:00:00,2017-07-15 00:00:00,36,40.45824749999999,4.8894541776700455
15,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2019-06-22 00:00:00,2020-07-25 00:00:00,49,155.110029,5.394075809537659
16,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2020-05-30 00:00:00,2021-03-27 00:00:00,35,39.562043,5.408046575935401
17,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2021-01-30 00:00:00,2021-11-13 00:00:00,33,66.81981,5.259972852789087
18,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2021-09-18 00:00:00,2022-04-02 00:00:00,20,77.29504,4.808130094862188
19,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2022-02-05 00:00:00,2022-08-06 00:00:00,18,54.805240000000005,4.71150229277365
20,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2023-06-24 00:00:00,2024-08-10 00:00:00,51,168.12164400000003,5.609080514433762
21,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2024-06-15 00:00:00,2025-05-31 00:00:00,42,150.21113,5.179208426960363
22,COVID-19,NM,HOSPITALIZATIONS,2021-03-20 00:00:00,2021-07-24 00:00:00,10,2323.0,4.1851744558505635
23,COVID-19,NM,HOSPITALIZATIONS,2021-05-29 00:00:00,2022-05-21 00:00:00,43,15284.0,5.3578999450495255
24,COVID-19,NM,HOSPITALIZATIONS,2022-03-26 00:00:00,2022-11-05 00:00:00,24,4588.0,4.887494575736332
25,COVID-19,NM,HOSPITALIZATIONS,2022-09-10 00:00:00,2023-03-25 00:00:00,20,3856.0,4.778732697235409
26,COVID-19,NM,HOSPITALIZATIONS,2023-01-28 00:00:00,2023-08-12 00:00:00,20,2038.0,4.66974569271826
27,COVID-19,NM,HOSPITALIZATIONS,2024-06-22 00:00:00,2024-10-12 00:00:00,8,140.0,3.90744926853524
28,COVID-19,NM,HOSPITALIZATIONS,2024-08-17 00:00:00,2025-05-31 00:00:00,33,2085.0,4.6905494727811945
29,RSV,MD,HOSPITALIZATIONS,2024-06-08 00:00:00,2025-05-31 00:00:00,43,2170.0,4.2609618737185935
30,COVID-19,CAMEROON,CASES,2020-09-12 00:00:00,2021-08-28 00:00:00,42,63821.0,4.476157100828578
31,COVID-19,CAMEROON,CASES,2021-07-03 00:00:00,2022-01-15 00:00:00,20,29179.0,3.7861222699706403
32,COVID-19,CAMEROON,CASES,2021-11-20 00:00:00,2022-06-18 00:00:00,22,13757.0,3.093063561243828
33,COVID-19,CAMEROON,CASES,2022-04-23 00:00:00,2022-10-22 00:00:00,18,1872.0,1.978239299742051
34,COVID-19,CAMEROON,CASES,2022-08-27 00:00:00,2023-02-11 00:00:00,16,3026.0,1.2539183317888545
35,SCARLET FEVER,OKLAHOMA,CASES,1928-07-14 00:00:00,1929-02-23 00:00:00,24,958.0,4.781176943443575
36,SCARLET FEVER,OKLAHOMA,CASES,1928-12-29 00:00:00,1929-08-31 00:00:00,27,904.0,4.976166063460932
37,SCARLET FEVER,OKLAHOMA,CASES,1930-07-12 00:00:00,1931-03-28 00:00:00,29,1099.0,4.990136835302049
38,SCARLET FEVER,OKLAHOMA,CASES,1931-01-31 00:00:00,1931-08-15 00:00:00,20,633.0,4.612919909097322
39,SCARLET FEVER,OKLAHOMA,CASES,1931-06-20 00:00:00,1932-01-02 00:00:00,20,699.0,4.5306228386610226
40,SCARLET FEVER,OKLAHOMA,CASES,1931-11-07 00:00:00,1932-08-13 00:00:00,32,957.0,5.040510408223646
41,SCARLET FEVER,OKLAHOMA,CASES,1933-07-01 00:00:00,1934-07-28 00:00:00,48,1037.0,5.389633727517148
42,SCARLET FEVER,OKLAHOMA,CASES,1935-06-08 00:00:00,1936-04-04 00:00:00,35,883.0,5.1418723603823935
43,SCARLET FEVER,OKLAHOMA,CASES,1936-02-08 00:00:00,1936-09-26 00:00:00,25,722.0,4.619849584202675
44,SCARLET FEVER,OKLAHOMA,CASES,1936-08-01 00:00:00,1937-04-24 00:00:00,30,720.0,4.940090217274132
45,SCARLET FEVER,OKLAHOMA,CASES,1937-02-27 00:00:00,1937-09-04 00:00:00,19,547.0,4.513819846932179
46,SCARLET FEVER,OKLAHOMA,CASES,1938-07-09 00:00:00,1939-08-26 00:00:00,51,1507.0,5.46844965132319
47,SCARLET FEVER,OKLAHOMA,CASES,1939-07-01 00:00:00,1940-04-27 00:00:00,35,719.0,5.20115136020773
48,SCARLET FEVER,OKLAHOMA,CASES,1940-03-02 00:00:00,1940-09-07 00:00:00,19,324.0,4.621441584857788
49,SCARLET FEVER,OKLAHOMA,CASES,1941-07-19 00:00:00,1942-08-01 00:00:00,46,735.0,5.489684628821635
50,SCARLET FEVER,OKLAHOMA,CASES,1942-06-06 00:00:00,1943-02-13 00:00:00,28,530.0,4.8917848347028245
51,SCARLET FEVER,OKLAHOMA,CASES,1942-12-19 00:00:00,1943-09-25 00:00:00,32,543.0,4.96996460438249
52,SCARLET FEVER,OKLAHOMA,CASES,1943-07-31 00:00:00,1944-01-29 00:00:00,18,625.0,3.9633827416361047
53,SCARLET FEVER,OKLAHOMA,CASES,1943-12-04 00:00:00,1944-09-02 00:00:00,31,795.0,4.627220089692304
54,SCARLET FEVER,OKLAHOMA,CASES,1944-07-08 00:00:00,1945-03-17 00:00:00,28,715.5,4.7100864282608885
55,SCARLET FEVER,OKLAHOMA,CASES,1945-01-20 00:00:00,1945-09-15 00:00:00,26,615.0,4.782894751021889
56,SCARLET FEVER,OKLAHOMA,CASES,1945-07-21 00:00:00,1946-08-10 00:00:00,47,796.0,5.405304672045601
57,SCARLET FEVER,OKLAHOMA,CASES,1946-08-03 00:00:00,1947-02-08 00:00:00,19,164.5,4.573112487466345
58,SCARLET FEVER,OKLAHOMA,CASES,1946-12-14 00:00:00,1947-07-12 00:00:00,22,201.0,4.609982124531943
59,SCARLET FEVER,OKLAHOMA,CASES,1947-05-17 00:00:00,1947-09-20 00:00:00,10,59.5,3.9792802386197725
60,SCARLET FEVER,OKLAHOMA,CASES,1947-07-26 00:00:00,1948-08-14 00:00:00,47,502.5,5.428068616948652
61,SCARLET FEVER,OKLAHOMA,CASES,1948-07-24 00:00:00,1949-02-19 00:00:00,22,401.0,4.6180987013484724
62,SCARLET FEVER,OKLAHOMA,CASES,1948-12-25 00:00:00,1949-09-24 00:00:00,31,315.5,4.727336109054817
63,SCARLET FEVER,OKLAHOMA,CASES,1949-07-30 00:00:00,1950-08-26 00:00:00,48,471.5,5.409426509085222
64,SCARLET FEVER,OKLAHOMA,CASES,1965-06-12 00:00:00,1965-10-09 00:00:00,9,214.0,3.6596161885814293
65,SCARLET FEVER,OKLAHOMA,CASES,1965-08-14 00:00:00,1966-02-05 00:00:00,17,526.0,4.362782305102015
66,SCARLET FEVER,OKLAHOMA,CASES,1965-12-11 00:00:00,1967-01-28 00:00:00,51,3390.0,5.8237548430190555
67,POLIOMYELITIS,INDIANA,CASES,1928-03-31 00:00:00,1928-09-08 00:00:00,15,6.0,2.2516291673878226
68,POLIOMYELITIS,INDIANA,CASES,1928-07-14 00:00:00,1929-02-16 00:00:00,23,20.0,2.9464393446710155
69,POLIOMYELITIS,INDIANA,CASES,1929-04-13 00:00:00,1930-04-12 00:00:00,44,15.0,3.106890595608519
70,POLIOMYELITIS,INDIANA,CASES,1930-02-15 00:00:00,1931-03-14 00:00:00,48,166.0,4.288917973923176
71,POLIOMYELITIS,INDIANA,CASES,1931-01-17 00:00:00,1931-06-20 00:00:00,14,11.0,2.4040097573248604
72,POLIOMYELITIS,INDIANA,CASES,1931-04-25 00:00:00,1932-01-09 00:00:00,29,53.0,4.074170633964245
73,POLIOMYELITIS,INDIANA,CASES,1931-11-14 00:00:00,1932-04-23 00:00:00,15,15.0,3.106890595608519
74,POLIOMYELITIS,INDIANA,CASES,1932-02-27 00:00:00,1932-06-25 00:00:00,9,4.0,2.0
75,POLIOMYELITIS,INDIANA,CASES,1932-04-30 00:00:00,1932-09-17 00:00:00,12,6.0,2.584962500721156
76,POLIOMYELITIS,INDIANA,CASES,1932-07-23 00:00:00,1933-02-04 00:00:00,20,15.0,3.272905595320056
77,POLIOMYELITIS,INDIANA,CASES,1932-12-10 00:00:00,1933-04-22 00:00:00,11,7.0,2.521640636343318
78,POLIOMYELITIS,INDIANA,CASES,1933-02-25 00:00:00,1933-08-05 00:00:00,15,15.0,3.589898095464288
79,POLIOMYELITIS,INDIANA,CASES,1933-06-10 00:00:00,1934-03-31 00:00:00,34,34.0,4.381580488309163
80,POLIOMYELITIS,INDIANA,CASES,1934-02-03 00:00:00,1934-06-02 00:00:00,9,4.0,2.0
81,POLIOMYELITIS,INDIANA,CASES,1934-04-07 00:00:00,1934-12-29 00:00:00,30,66.0,4.082518689416173
82,POLIOMYELITIS,INDIANA,CASES,1934-11-03 00:00:00,1935-04-06 00:00:00,14,17.0,2.586887840995814
83,POLIOMYELITIS,INDIANA,CASES,1935-04-06 00:00:00,1936-04-11 00:00:00,45,48.0,4.323934896284056
84,POLIOMYELITIS,INDIANA,CASES,1936-02-15 00:00:00,1936-07-11 00:00:00,13,4.0,1.5
85,POLIOMYELITIS,INDIANA,CASES,1936-05-16 00:00:00,1937-02-13 00:00:00,31,51.0,3.8558527358127863
86,POLIOMYELITIS,INDIANA,CASES,1936-12-19 00:00:00,1937-05-08 00:00:00,12,6.0,2.2516291673878226
87,POLIOMYELITIS,INDIANA,CASES,1937-03-13 00:00:00,1938-02-12 00:00:00,40,144.0,4.1360138241029105
88,POLIOMYELITIS,INDIANA,CASES,1937-12-18 00:00:00,1938-05-14 00:00:00,13,6.0,2.2516291673878226
89,POLIOMYELITIS,INDIANA,CASES,1938-03-19 00:00:00,1938-07-09 00:00:00,8,4.0,1.5
90,POLIOMYELITIS,INDIANA,CASES,1938-05-14 00:00:00,1938-09-17 00:00:00,10,6.0,2.251629167387823
91,POLIOMYELITIS,INDIANA,CASES,1938-07-23 00:00:00,1939-01-14 00:00:00,17,8.0,2.0
92,POLIOMYELITIS,INDIANA,CASES,1938-11-19 00:00:00,1939-06-03 00:00:00,20,6.0,2.2516291673878226
93,POLIOMYELITIS,INDIANA,CASES,1940-04-06 00:00:00,1941-04-12 00:00:00,45,676.0,4.109884841429999
94,POLIOMYELITIS,INDIANA,CASES,1941-02-15 00:00:00,1942-02-07 00:00:00,43,122.5,4.272485150313043
95,POLIOMYELITIS,INDIANA,CASES,1941-12-13 00:00:00,1942-06-27 00:00:00,20,16.0,2.7272170014624826
96,POLIOMYELITIS,INDIANA,CASES,1942-05-02 00:00:00,1943-04-03 00:00:00,40,89.0,4.47893609220114
97,POLIOMYELITIS,INDIANA,CASES,1943-02-06 00:00:00,1943-06-12 00:00:00,10,6.0,2.404678473063571
98,POLIOMYELITIS,INDIANA,CASES,1943-04-17 00:00:00,1944-01-15 00:00:00,31,106.5,3.7778716420731784
99,POLIOMYELITIS,INDIANA,CASES,1943-11-20 00:00:00,1944-06-03 00:00:00,20,15.0,3.1144093452479407
100,POLIOMYELITIS,INDIANA,CASES,1944-04-08 00:00:00,1945-04-07 00:00:00,44,332.0,4.25864391214073
101,POLIOMYELITIS,INDIANA,CASES,1945-03-17 00:00:00,1946-03-09 00:00:00,43,197.0,4.35446859361859
102,POLIOMYELITIS,INDIANA,CASES,1946-01-12 00:00:00,1946-05-25 00:00:00,11,6.0,2.2516291673878226
103,POLIOMYELITIS,INDIANA,CASES,1946-03-30 00:00:00,1947-05-03 00:00:00,49,448.0,4.579668525019953
104,POLIOMYELITIS,INDIANA,CASES,1947-03-08 00:00:00,1948-03-27 00:00:00,47,217.0,4.3860927101995735
105,POLIOMYELITIS,INDIANA,CASES,1948-01-31 00:00:00,1949-03-19 00:00:00,51,442.5,4.715614322572783
106,POLIOMYELITIS,INDIANA,CASES,1949-01-22 00:00:00,1949-06-04 00:00:00,11,31.166666666666668,4.252657528962456
107,POLIOMYELITIS,INDIANA,CASES,1949-04-09 00:00:00,1950-05-27 00:00:00,51,1174.0,4.595709635407635
108,POLIOMYELITIS,INDIANA,CASES,1950-04-01 00:00:00,1951-04-07 00:00:00,45,619.0,4.786611555898066
109,POLIOMYELITIS,INDIANA,CASES,1951-02-10 00:00:00,1951-06-09 00:00:00,9,34.5,4.155555072688843
110,POLIOMYELITIS,INDIANA,CASES,1951-04-14 00:00:00,1952-05-10 00:00:00,48,404.5,4.984827752278057
111,POLIOMYELITIS,INDIANA,CASES,1952-03-15 00:00:00,1953-03-07 00:00:00,43,1461.5,4.356072287486598
112,POLIOMYELITIS,INDIANA,CASES,1954-02-13 00:00:00,1955-03-12 00:00:00,48,889.0,4.741582261996721
113,POLIOMYELITIS,INDIANA,CASES,1955-02-26 00:00:00,1956-03-17 00:00:00,47,485.5,4.9613549875473995
114,POLIOMYELITIS,INDIANA,CASES,1956-01-21 00:00:00,1956-05-12 00:00:00,8,18.75,4.053893150779032
115,POLIOMYELITIS,INDIANA,CASES,1957-05-11 00:00:00,1958-05-17 00:00:00,45,219.5,4.99774300820336
116,POLIOMYELITIS,INDIANA,CASES,1958-03-22 00:00:00,1959-05-09 00:00:00,51,212.0,5.327188473732863
117,POLIOMYELITIS,INDIANA,CASES,1959-03-14 00:00:00,1960-04-30 00:00:00,51,190.8333333333333,5.304783317711346
118,POLIOMYELITIS,INDIANA,CASES,1961-04-08 00:00:00,1962-01-27 00:00:00,34,56.5,5.295112483399261
119,POLIOMYELITIS,INDIANA,CASES,1961-12-02 00:00:00,1962-07-07 00:00:00,23,42.0,4.925494843611665
120,POLIOMYELITIS,INDIANA,CASES,1962-05-12 00:00:00,1963-04-20 00:00:00,41,68.0,5.5134736717729735
121,POLIOMYELITIS,INDIANA,CASES,1964-06-27 00:00:00,1965-07-10 00:00:00,46,59.84883720930233,5.752898198779576
122,RSV,MT,HOSPITALIZATIONS,2024-06-22 00:00:00,2025-05-31 00:00:00,41,606.0,4.067298457339863
123,INFLUENZA,AZ,HOSPITALIZATIONS,2021-02-27 00:00:00,2021-08-07 00:00:00,15,95.0,3.907169726742143
124,INFLUENZA,AZ,HOSPITALIZATIONS,2021-06-12 00:00:00,2022-03-19 00:00:00,32,1518.0,3.7578416015125327
125,INFLUENZA,AZ,HOSPITALIZATIONS,2022-01-22 00:00:00,2022-10-01 00:00:00,28,2579.0,4.574838387347498
126,INFLUENZA,AZ,HOSPITALIZATIONS,2022-08-06 00:00:00,2023-05-06 00:00:00,31,5961.0,4.048614088705917
127,INFLUENZA,AZ,HOSPITALIZATIONS,2023-03-11 00:00:00,2023-09-30 00:00:00,21,976.0,4.650999161371244
128,INFLUENZA,AZ,HOSPITALIZATIONS,2023-08-05 00:00:00,2024-09-14 00:00:00,50,9751.0,4.714470559711915
129,INFLUENZA,AZ,HOSPITALIZATIONS,2024-07-20 00:00:00,2025-05-31 00:00:00,37,19119.0,4.342859669548732
130,COVID-19,NIGERIA,CASES,2020-09-19 00:00:00,2021-06-26 00:00:00,32,111288.0,4.494633606042203
131,COVID-19,NIGERIA,CASES,2021-05-01 00:00:00,2021-12-04 00:00:00,23,49883.0,4.397990844945001
132,COVID-19,NIGERIA,CASES,2021-10-09 00:00:00,2022-06-04 00:00:00,26,50114.0,3.7179768350513656
133,COVID-19,NIGERIA,CASES,2022-04-09 00:00:00,2023-03-04 00:00:00,39,11160.0,4.557329143255906
134,INFLUENZA,MI,HOSPITALIZATIONS,2021-02-06 00:00:00,2021-08-07 00:00:00,18,58.0,3.37646287812865
135,INFLUENZA,MI,HOSPITALIZATIONS,2021-06-12 00:00:00,2022-02-26 00:00:00,29,705.0,4.008031441264816
136,INFLUENZA,MI,HOSPITALIZATIONS,2022-01-01 00:00:00,2022-09-24 00:00:00,30,2378.0,4.599436102624399
137,INFLUENZA,MI,HOSPITALIZATIONS,2022-07-30 00:00:00,2023-08-26 00:00:00,48,6878.0,3.9249312788537294
138,INFLUENZA,MI,HOSPITALIZATIONS,2024-07-06 00:00:00,2025-05-31 00:00:00,39,14270.0,4.228460543687933
139,SMALLPOX,ALABAMA,CASES,1927-12-03 00:00:00,1928-05-19 00:00:00,16,185.5,4.336597204373216
140,SMALLPOX,ALABAMA,CASES,1928-03-24 00:00:00,1928-10-20 00:00:00,22,209.0,4.266707011241248
141,SMALLPOX,ALABAMA,CASES,1928-08-25 00:00:00,1929-08-31 00:00:00,45,204.0,4.478059771668661
142,SMALLPOX,ALABAMA,CASES,1929-07-06 00:00:00,1930-03-29 00:00:00,30,323.0,2.1945389300756952
143,SMALLPOX,ALABAMA,CASES,1930-02-01 00:00:00,1930-09-06 00:00:00,23,121.0,4.227007596981014
144,SMALLPOX,ALABAMA,CASES,1930-07-12 00:00:00,1930-12-06 00:00:00,13,18.0,2.362740278498934
145,SMALLPOX,ALABAMA,CASES,1930-10-11 00:00:00,1931-10-03 00:00:00,43,295.0,4.653440709890479
146,SMALLPOX,ALABAMA,CASES,1931-08-08 00:00:00,1931-12-12 00:00:00,10,16.0,2.521782221599798
147,SMALLPOX,ALABAMA,CASES,1931-10-17 00:00:00,1932-04-09 00:00:00,17,292.0,2.6901763634145843
148,SMALLPOX,ALABAMA,CASES,1932-02-13 00:00:00,1932-10-29 00:00:00,29,263.0,4.356267599949902
149,SMALLPOX,ALABAMA,CASES,1932-09-03 00:00:00,1933-05-13 00:00:00,28,82.0,3.486786756946283
150,SMALLPOX,ALABAMA,CASES,1933-03-18 00:00:00,1933-09-02 00:00:00,16,51.0,2.376351196867942
151,SMALLPOX,ALABAMA,CASES,1934-08-11 00:00:00,1935-03-23 00:00:00,24,26.0,2.9941117190410815
152,SMALLPOX,ALABAMA,CASES,1935-01-26 00:00:00,1935-09-07 00:00:00,24,32.0,3.114415736636332
153,SMALLPOX,ALABAMA,CASES,1935-09-21 00:00:00,1936-08-01 00:00:00,37,11.0,2.9139770731827523
154,SMALLPOX,ALABAMA,CASES,1936-11-14 00:00:00,1937-04-24 00:00:00,15,9.0,1.6577427265048887
155,SMALLPOX,ALABAMA,CASES,1937-02-27 00:00:00,1937-07-24 00:00:00,13,9.0,2.503258334775646
156,SMALLPOX,ALABAMA,CASES,1937-05-29 00:00:00,1937-12-25 00:00:00,22,35.0,2.1847501590603486
157,SMALLPOX,ALABAMA,CASES,1937-10-30 00:00:00,1938-04-02 00:00:00,14,21.0,2.8559049224696933
158,SMALLPOX,ALABAMA,CASES,1938-02-05 00:00:00,1938-09-17 00:00:00,24,59.0,2.963613651790734
159,SMALLPOX,ALABAMA,CASES,1938-07-23 00:00:00,1939-01-14 00:00:00,17,7.0,2.8073549220576037
160,SMALLPOX,ALABAMA,CASES,1938-11-19 00:00:00,1939-09-16 00:00:00,35,22.0,2.720128777433188
161,SMALLPOX,ALABAMA,CASES,1939-07-22 00:00:00,1939-11-18 00:00:00,9,2.0,1.0
162,SMALLPOX,ALABAMA,CASES,1939-09-23 00:00:00,1940-03-09 00:00:00,16,4.0,1.5
163,SMALLPOX,ALABAMA,CASES,1940-01-13 00:00:00,1940-11-30 00:00:00,38,51.0,3.5246274741210195
