unique_id,disease,location,event,start_date,end_date,duration,total,PE
1,RSV,ND,HOSPITALIZATIONS,2024-06-22 00:00:00,2025-05-31 00:00:00,41,459.0,0.789631317854333
2,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2010-10-16 00:00:00,2011-08-06 00:00:00,34,90.2390218,0.9532660973221662
3,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2012-06-16 00:00:00,2012-12-08 00:00:00,17,54.807999,0.9474343611056536
4,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2012-10-13 00:00:00,2013-08-03 00:00:00,34,153.295142,0.9581756390313171
5,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2013-06-08 00:00:00,2013-12-21 00:00:00,20,42.58717600000001,0.9272212116402262
6,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2013-10-26 00:00:00,2014-05-31 00:00:00,23,31.821822,0.9740853231175152
7,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2014-04-05 00:00:00,2014-11-29 00:00:00,26,26.885318000000005,0.9409688584140483
8,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2014-10-04 00:00:00,2015-07-25 00:00:00,34,64.456523,0.8940310919260759
9,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2015-05-30 00:00:00,2015-12-05 00:00:00,19,17.725243999999996,0.9743092791511183
10,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2015-10-10 00:00:00,2016-02-13 00:00:00,10,9.928703,0.9357819290968923
11,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2015-12-19 00:00:00,2016-07-02 00:00:00,20,18.015999999999995,0.9613686282726054
12,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2016-05-07 00:00:00,2016-09-10 00:00:00,10,7.0255540000000005,0.9835665674455324
13,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2016-07-16 00:00:00,2016-11-05 00:00:00,8,5.358497,0.8635571681993488
14,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2016-09-10 00:00:00,2017-07-15 00:00:00,36,40.45824749999999,0.9480065323658393
15,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2019-06-22 00:00:00,2020-07-25 00:00:00,49,155.110029,0.9674089747899142
16,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2020-05-30 00:00:00,2021-03-27 00:00:00,35,39.562043,0.9980951543189213
17,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2021-01-30 00:00:00,2021-11-13 00:00:00,33,66.81981,0.9696248243677922
18,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2021-09-18 00:00:00,2022-04-02 00:00:00,20,77.29504,0.9620695358579971
19,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2022-02-05 00:00:00,2022-08-06 00:00:00,18,54.805240000000005,0.9372765336772136
20,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2023-06-24 00:00:00,2024-08-10 00:00:00,51,168.12164400000003,0.8583539730958134
21,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2024-06-15 00:00:00,2025-05-31 00:00:00,42,150.21113,0.8464274772199625
22,COVID-19,NM,HOSPITALIZATIONS,2021-03-20 00:00:00,2021-07-24 00:00:00,10,2323.0,0.9641157682210613
23,COVID-19,NM,HOSPITALIZATIONS,2021-05-29 00:00:00,2022-05-21 00:00:00,43,15284.0,0.9280427486642567
24,COVID-19,NM,HOSPITALIZATIONS,2022-03-26 00:00:00,2022-11-05 00:00:00,24,4588.0,0.9307724360697686
25,COVID-19,NM,HOSPITALIZATIONS,2022-09-10 00:00:00,2023-03-25 00:00:00,20,3856.0,0.967292449601084
26,COVID-19,NM,HOSPITALIZATIONS,2023-01-28 00:00:00,2023-08-12 00:00:00,20,2038.0,0.9923855842213767
27,COVID-19,NM,HOSPITALIZATIONS,2024-06-22 00:00:00,2024-10-12 00:00:00,8,140.0,0.9566504715755689
28,COVID-19,NM,HOSPITALIZATIONS,2024-08-17 00:00:00,2025-05-31 00:00:00,33,2085.0,0.9811506626554071
29,RSV,MD,HOSPITALIZATIONS,2024-06-08 00:00:00,2025-05-31 00:00:00,43,2170.0,0.7143909866184406
30,COVID-19,CAMEROON,CASES,2020-09-12 00:00:00,2021-08-28 00:00:00,42,63821.0,0.9725084260032762
31,COVID-19,CAMEROON,CASES,2021-07-03 00:00:00,2022-01-15 00:00:00,20,29179.0,0.9148730401400141
32,COVID-19,CAMEROON,CASES,2021-11-20 00:00:00,2022-06-18 00:00:00,22,13757.0,0.9725650377082804
33,COVID-19,CAMEROON,CASES,2022-04-23 00:00:00,2022-10-22 00:00:00,18,1872.0,0.6420680500961164
34,COVID-19,CAMEROON,CASES,2022-08-27 00:00:00,2023-02-11 00:00:00,16,3026.0,0.3738745256372595
35,SCARLET FEVER,OKLAHOMA,CASES,1928-07-14 00:00:00,1929-02-23 00:00:00,24,958.0,0.9883408515446943
36,SCARLET FEVER,OKLAHOMA,CASES,1928-12-29 00:00:00,1929-08-31 00:00:00,27,904.0,0.9980273989850146
37,SCARLET FEVER,OKLAHOMA,CASES,1930-07-12 00:00:00,1931-03-28 00:00:00,29,1099.0,0.9566409581192771
38,SCARLET FEVER,OKLAHOMA,CASES,1931-01-31 00:00:00,1931-08-15 00:00:00,20,633.0,0.9830005060028429
39,SCARLET FEVER,OKLAHOMA,CASES,1931-06-20 00:00:00,1932-01-02 00:00:00,20,699.0,0.8532689312025485
40,SCARLET FEVER,OKLAHOMA,CASES,1931-11-07 00:00:00,1932-08-13 00:00:00,32,957.0,0.9793658917532176
41,SCARLET FEVER,OKLAHOMA,CASES,1933-07-01 00:00:00,1934-07-28 00:00:00,48,1037.0,0.976315124484174
42,SCARLET FEVER,OKLAHOMA,CASES,1935-06-08 00:00:00,1936-04-04 00:00:00,35,883.0,0.9686158231568586
43,SCARLET FEVER,OKLAHOMA,CASES,1936-02-08 00:00:00,1936-09-26 00:00:00,25,722.0,0.9770781018065821
44,SCARLET FEVER,OKLAHOMA,CASES,1936-08-01 00:00:00,1937-04-24 00:00:00,30,720.0,0.9681231622657269
45,SCARLET FEVER,OKLAHOMA,CASES,1937-02-27 00:00:00,1937-09-04 00:00:00,19,547.0,0.9439287762440044
46,SCARLET FEVER,OKLAHOMA,CASES,1938-07-09 00:00:00,1939-08-26 00:00:00,51,1507.0,0.9388529743243266
47,SCARLET FEVER,OKLAHOMA,CASES,1939-07-01 00:00:00,1940-04-27 00:00:00,35,719.0,0.968377894413251
48,SCARLET FEVER,OKLAHOMA,CASES,1940-03-02 00:00:00,1940-09-07 00:00:00,19,324.0,0.9372573356810511
49,SCARLET FEVER,OKLAHOMA,CASES,1941-07-19 00:00:00,1942-08-01 00:00:00,46,735.0,0.9753790630837699
50,SCARLET FEVER,OKLAHOMA,CASES,1942-06-06 00:00:00,1943-02-13 00:00:00,28,530.0,0.9652318379343539
51,SCARLET FEVER,OKLAHOMA,CASES,1942-12-19 00:00:00,1943-09-25 00:00:00,32,543.0,0.9686499156259577
52,SCARLET FEVER,OKLAHOMA,CASES,1943-07-31 00:00:00,1944-01-29 00:00:00,18,625.0,0.9242977683599474
53,SCARLET FEVER,OKLAHOMA,CASES,1943-12-04 00:00:00,1944-09-02 00:00:00,31,795.0,0.9820923909706726
54,SCARLET FEVER,OKLAHOMA,CASES,1944-07-08 00:00:00,1945-03-17 00:00:00,28,715.5,0.9273635124785323
55,SCARLET FEVER,OKLAHOMA,CASES,1945-01-20 00:00:00,1945-09-15 00:00:00,26,615.0,0.991453225797672
56,SCARLET FEVER,OKLAHOMA,CASES,1945-07-21 00:00:00,1946-08-10 00:00:00,47,796.0,0.9965477486968233
57,SCARLET FEVER,OKLAHOMA,CASES,1946-08-03 00:00:00,1947-02-08 00:00:00,19,164.5,0.9566466065061588
58,SCARLET FEVER,OKLAHOMA,CASES,1946-12-14 00:00:00,1947-07-12 00:00:00,22,201.0,0.9725650377082804
59,SCARLET FEVER,OKLAHOMA,CASES,1947-05-17 00:00:00,1947-09-20 00:00:00,10,59.5,0.844757739159353
60,SCARLET FEVER,OKLAHOMA,CASES,1947-07-26 00:00:00,1948-08-14 00:00:00,47,502.5,0.9902895672653591
61,SCARLET FEVER,OKLAHOMA,CASES,1948-07-24 00:00:00,1949-02-19 00:00:00,22,401.0,0.952425013614611
62,SCARLET FEVER,OKLAHOMA,CASES,1948-12-25 00:00:00,1949-09-24 00:00:00,31,315.5,0.8995455323174676
63,SCARLET FEVER,OKLAHOMA,CASES,1949-07-30 00:00:00,1950-08-26 00:00:00,48,471.5,0.9859290586711419
64,SCARLET FEVER,OKLAHOMA,CASES,1965-06-12 00:00:00,1965-10-09 00:00:00,9,214.0,0.9583183511448947
65,SCARLET FEVER,OKLAHOMA,CASES,1965-08-14 00:00:00,1966-02-05 00:00:00,17,526.0,0.9474343611056536
66,SCARLET FEVER,OKLAHOMA,CASES,1965-12-11 00:00:00,1967-01-28 00:00:00,51,3390.0,0.14532401485491056
67,POLIOMYELITIS,INDIANA,CASES,1928-03-31 00:00:00,1928-09-08 00:00:00,15,6.0,0.5758699535309395
68,POLIOMYELITIS,INDIANA,CASES,1928-07-14 00:00:00,1929-02-16 00:00:00,23,20.0,0.5933454025671939
69,POLIOMYELITIS,INDIANA,CASES,1929-04-13 00:00:00,1930-04-12 00:00:00,44,15.0,0.5177684382466012
70,POLIOMYELITIS,INDIANA,CASES,1930-02-15 00:00:00,1931-03-14 00:00:00,48,166.0,0.6835015112906379
71,POLIOMYELITIS,INDIANA,CASES,1931-01-17 00:00:00,1931-06-20 00:00:00,14,11.0,0.6378129650224476
72,POLIOMYELITIS,INDIANA,CASES,1931-04-25 00:00:00,1932-01-09 00:00:00,29,53.0,0.697306364803656
73,POLIOMYELITIS,INDIANA,CASES,1931-11-14 00:00:00,1932-04-23 00:00:00,15,15.0,0.8521093387543761
74,POLIOMYELITIS,INDIANA,CASES,1932-02-27 00:00:00,1932-06-25 00:00:00,9,4.0,0.5809037738037822
75,POLIOMYELITIS,INDIANA,CASES,1932-04-30 00:00:00,1932-09-17 00:00:00,12,6.0,0.4093974450039776
76,POLIOMYELITIS,INDIANA,CASES,1932-07-23 00:00:00,1933-02-04 00:00:00,20,15.0,0.6093729244040165
77,POLIOMYELITIS,INDIANA,CASES,1932-12-10 00:00:00,1933-04-22 00:00:00,11,7.0,0.7420981285103055
78,POLIOMYELITIS,INDIANA,CASES,1933-02-25 00:00:00,1933-08-05 00:00:00,15,15.0,0.8545529382505681
79,POLIOMYELITIS,INDIANA,CASES,1933-06-10 00:00:00,1934-03-31 00:00:00,34,34.0,0.8356198224922587
80,POLIOMYELITIS,INDIANA,CASES,1934-02-03 00:00:00,1934-06-02 00:00:00,9,4.0,0.5492291348162314
81,POLIOMYELITIS,INDIANA,CASES,1934-04-07 00:00:00,1934-12-29 00:00:00,30,66.0,0.8020470210654429
82,POLIOMYELITIS,INDIANA,CASES,1934-11-03 00:00:00,1935-04-06 00:00:00,14,17.0,0.7034258452711425
83,POLIOMYELITIS,INDIANA,CASES,1935-04-06 00:00:00,1936-04-11 00:00:00,45,48.0,0.6277710865652905
84,POLIOMYELITIS,INDIANA,CASES,1936-02-15 00:00:00,1936-07-11 00:00:00,13,4.0,0.4077489606826982
85,POLIOMYELITIS,INDIANA,CASES,1936-05-16 00:00:00,1937-02-13 00:00:00,31,51.0,0.7025938483347726
86,POLIOMYELITIS,INDIANA,CASES,1936-12-19 00:00:00,1937-05-08 00:00:00,12,6.0,0.5173169587267943
87,POLIOMYELITIS,INDIANA,CASES,1937-03-13 00:00:00,1938-02-12 00:00:00,40,144.0,0.8977891813373177
88,POLIOMYELITIS,INDIANA,CASES,1937-12-18 00:00:00,1938-05-14 00:00:00,13,6.0,0.5102724987193741
89,POLIOMYELITIS,INDIANA,CASES,1938-03-19 00:00:00,1938-07-09 00:00:00,8,4.0,0.426817568262608
90,POLIOMYELITIS,INDIANA,CASES,1938-05-14 00:00:00,1938-09-17 00:00:00,10,6.0,0.4410384144272111
91,POLIOMYELITIS,INDIANA,CASES,1938-07-23 00:00:00,1939-01-14 00:00:00,17,8.0,0.49246735860978763
92,POLIOMYELITIS,INDIANA,CASES,1938-11-19 00:00:00,1939-06-03 00:00:00,20,6.0,0.29142965306901064
