,Unique_id,Reference Date,Target End Date,GT,WIS,MAE,MSE,MAPE,NMSE
0,Y_1,2025-06-14,2025-06-21,0.0,8.712642282814715,0.0,0.0,,
1,Y_1,2025-06-14,2025-06-28,0.0,12.321536880461855,0.0,0.0,,
2,Y_1,2025-06-14,2025-07-05,0.0,15.090739102007975,0.0,0.0,,
3,Y_1,2025-06-14,2025-07-12,0.0,17.42528456562943,0.0,0.0,,
4,Y_10,2016-10-01,2016-10-08,0.0,0.23441495391117195,4.081969946875273e-11,1.6662478647192917e-21,,
5,Y_10,2016-10-01,2016-10-15,0.0,0.2587950967830096,4.081969946875273e-11,1.6662478647192917e-21,,
6,Y_10,2016-10-01,2016-10-22,0.0,0.2810683789056738,4.081969946875273e-11,1.6662478647192917e-21,,
7,Y_10,2016-10-01,2016-10-29,0.0,0.3017017817686672,4.081969946875273e-11,1.6662478647192917e-21,,
8,Y_100,1945-03-31,1945-04-07,0.0,7.023985149399587,0.0,0.0,,
9,Y_100,1945-03-31,1945-04-14,0.0,9.933415060188107,0.0,0.0,,
10,Y_100,1945-03-31,1945-04-21,0.0,12.165899150369354,0.0,0.0,,
11,Y_100,1945-03-31,1945-04-28,0.0,14.047970298799173,0.0,0.0,,
12,Y_1000,2022-01-01,2022-01-08,0.0,2589.2781667221197,0.04704752481337503,0.0022134695910651387,,
13,Y_1000,2022-01-01,2022-01-15,0.0,5384.184862429868,0.14329537339912185,0.02053356403759376,,
14,Y_1000,2022-01-01,2022-01-22,0.0,8971.267627457693,0.23591634770294606,0.05565652311349734,,
15,Y_1000,2022-01-01,2022-01-29,0.0,12767.943090434796,0.30021434592510654,0.09012865349923953,,
16,Y_10000,1957-02-23,1957-03-02,0.0,8.503032673903837,1.4671824024350808,2.1526242020151756,,
17,Y_10000,1957-02-23,1957-03-09,0.0,9.79852544403048,1.751076994709933,3.0662706414023706,,
18,Y_10000,1957-02-23,1957-03-16,0.0,10.387488355846193,1.5998129600923738,2.5594015072795235,,
19,Y_10000,1957-02-23,1957-03-23,0.0,11.197953902338291,1.6804090996152783,2.8237747420698303,,
20,Y_10001,1958-01-18,1958-01-25,0.0,0.6854707996878311,0.0,0.0,,
21,Y_10001,1958-01-18,1958-02-01,0.0,0.9694021015292619,0.0,0.0,,
22,Y_10001,1958-01-18,1958-02-08,0.0,1.1872702521641922,0.0,0.0,,
23,Y_10001,1958-01-18,1958-02-15,0.0,1.3709415993756622,0.0,0.0,,
24,Y_10002,1958-04-05,1958-04-12,0.0,5.129481329281374,1.001343265248545,1.002688334858618,,
25,Y_10002,1958-04-05,1958-04-19,0.0,5.227894460505223,1.001343265248545,1.002688334858618,,
26,Y_10002,1958-04-05,1958-04-26,0.0,5.330708200247659,1.001343265248545,1.002688334858618,,
