disease,location,event,start_date,end_date,duration,total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,unique_id
RSV,ND,HOSPITALIZATIONS,2024-06-22 00:00:00,2025-05-31 00:00:00,41,459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,13.0,8.0,8.0,10.0,29.0,28.0,27.0,46.0,52.0,43.0,43.0,39.0,27.0,27.0,23.0,17.0,4.0,7.0,,,,,,,,,,,,,,,1
ILI,NEBRASKA,PERCENT_UNWEIGHTED,2010-10-16 00:00:00,2011-08-06 00:00:00,34,90.2390218,2.73532,3.31103,2.05761,0.376712,2.96108,2.42303,0.614754,2.8157,2.46212,3.2371,2.22063,3.82883,3.00619,2.95939,3.12049,4.47843,6.28019,3.68098,4.43182,8.24176,6.80219,5.88957,2.89517,1.56352,1.16105,0.894234,1.43939,1.05422,0.513834,0.421546,0.283286,0.395062,0.185071,0.183374,0.330251,0.0875657,0.168067,0.0656599,0.123609,0.0517063,0.148478,0.264375,0.0746269,,,,,,,,,,,,,,,,,,2
ILI,NEBRASKA,PERCENT_UNWEIGHTED,2012-06-16 00:00:00,2012-12-08 00:00:00,17,54.807999,0.435098,0.235294,0.224972,0.974513,0.293255,0.359454,0.549073,1.03022,0.530786,0.540054,2.25485,3.18318,3.65591,4.41065,4.86275,4.35403,2.80287,2.66876,2.52572,3.18166,3.04601,1.92698,3.09826,2.12982,3.26223,2.2716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
ILI,NEBRASKA,PERCENT_UNWEIGHTED,2012-10-13 00:00:00,2013-08-03 00:00:00,34,153.295142,2.66876,2.52572,3.18166,3.04601,1.92698,3.09826,2.12982,3.26223,2.2716,2.82964,6.81524,10.1455,8.65229,10.1024,9.41499,9.67664,8.77193,6.27462,5.84396,5.60621,4.66401,3.06711,3.87945,3.07491,3.34101,2.66117,2.08668,2.99728,2.43995,2.36794,2.20905,2.32681,2.48705,2.81955,0.358423,0.312175,0.855615,0.439078,0.336134,0.37831,0.490196,0.900901,0.55788,,,,,,,,,,,,,,,,,,4
ILI,NEBRASKA,PERCENT_UNWEIGHTED,2013-06-08 00:00:00,2013-12-21 00:00:00,20,42.58717600000001,0.358423,0.312175,0.855615,0.439078,0.336134,0.37831,0.490196,0.900901,0.55788,4.83736,2.94302,2.9601,0.763359,3.4678,4.96134,3.85941,4.7043,0.469484,0.76,0.79698,0.947672,0.472306,0.690407,0.953107,0.679456,0.900424,0.712946,0.899743,1.17925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
ILI,NEBRASKA,PERCENT_UNWEIGHTED,2013-10-26 00:00:00,2014-05-31 00:00:00,23,31.821822,0.947672,0.472306,0.690407,0.953107,0.679456,0.900424,0.712946,0.899743,1.17925,1.56863,1.87768,1.77795,1.97794,2.49233,2.04842,1.99442,1.21046,0.808081,0.574713,0.97269,1.09393,0.747664,0.44428,0.652842,0.678989,0.510204,0.405515,0.235849,0.647059,0.436137,0.666667,0.564061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
ILI,NEBRASKA,PERCENT_UNWEIGHTED,2014-04-05 00:00:00,2014-11-29 00:00:00,26,26.885318000000005,0.652842,0.678989,0.510204,0.405515,0.235849,0.647059,0.436137,0.666667,0.564061,1.35135,0.244898,0.776531,0.738916,1.18519,0.40201,0.740741,0.786517,0.753498,0.925926,0.686695,1.21382,1.0979,1.07914,1.89019,1.44788,1.06075,0.630564,0.741565,0.855545,0.530906,0.420008,0.293871,0.684671,0.676397,0.872516,,,,,,,,,,,,,,,,,,,,,,,,,,7
ILI,NEBRASKA,PERCENT_UNWEIGHTED,2014-10-04 00:00:00,2015-07-25 00:00:00,34,64.456523,0.630564,0.741565,0.855545,0.530906,0.420008,0.293871,0.684671,0.676397,0.872516,1.12994,1.3936,2.57791,4.92802,3.54312,2.82328,2.54025,5.80942,4.06442,2.80483,1.70599,1.54268,1.48305,1.75055,2.20345,2.3017,2.39542,2.08991,1.28593,0.962567,0.796312,0.679348,0.932744,0.90854,0.614628,0.630517,0.68408,0.667111,0.480513,0.561224,0.373134,0.366838,0.933908,0.785546,,,,,,,,,,,,,,,,,,8
ILI,NEBRASKA,PERCENT_UNWEIGHTED,2015-05-30 00:00:00,2015-12-05 00:00:00,19,17.725243999999996,0.630517,0.68408,0.667111,0.480513,0.561224,0.373134,0.366838,0.933908,0.785546,0.832702,1.01664,0.44843,0.783699,0.609756,0.507614,0.820896,0.572519,0.720839,1.19403,0.428878,0.451722,0.498287,0.331583,0.489663,0.565771,0.921788,0.697293,0.350263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
ILI,NEBRASKA,PERCENT_UNWEIGHTED,2015-10-10 00:00:00,2016-02-13 00:00:00,10,9.928703,0.428878,0.451722,0.498287,0.331583,0.489663,0.565771,0.921788,0.697293,0.350263,0.833066,0.545455,0.459982,0.421151,0.529412,0.527395,0.328554,0.406858,0.437158,0.704424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
ILI,NEBRASKA,PERCENT_UNWEIGHTED,2015-12-19 00:00:00,2016-07-02 00:00:00,20,18.015999999999995,0.545455,0.459982,0.421151,0.529412,0.527395,0.328554,0.406858,0.437158,0.704424,0.699097,1.00546,1.48835,1.60966,0.845728,1.05159,1.08728,0.730337,0.472953,0.350058,0.597015,0.347442,0.336474,0.396825,0.236546,0.564175,0.383352,0.265957,0.554401,0.632911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
ILI,NEBRASKA,PERCENT_UNWEIGHTED,2016-05-07 00:00:00,2016-09-10 00:00:00,10,7.0255540000000005,0.347442,0.336474,0.396825,0.236546,0.564175,0.383352,0.265957,0.554401,0.632911,0.428266,0.369588,0.146987,0.203046,0.380771,0.334821,0.353565,0.316957,0.394477,0.378993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
ILI,NEBRASKA,PERCENT_UNWEIGHTED,2016-07-16 00:00:00,2016-11-05 00:00:00,8,5.358497,0.369588,0.146987,0.203046,0.380771,0.334821,0.353565,0.316957,0.394477,0.378993,0.381316,0.435493,0.220386,0.335161,0.253991,0.27907,0.15758,0.416295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
ILI,NEBRASKA,PERCENT_UNWEIGHTED,2016-09-10 00:00:00,2017-07-15 00:00:00,36,40.45824749999999,0.378993,0.381316,0.435493,0.220386,0.335161,0.253991,0.27907,0.15758,0.416295,0.584966,0.409707,0.572246,0.796266,0.466708,0.498287,0.942737,1.00209,1.47908,1.6377,2.86899,2.60756,3.20242,4.17193,2.29617,1.93638,1.24297,1.54799,1.98883,1.35802,0.888585,0.887282,0.635425,0.258207,0.348888,0.266548,0.261666,0.449583,0.0643915,0.192123,0.351906,0.369231,0.236827,0.416667,0.170503,0.191083,,,,,,,,,,,,,,,,14
ILI,NEBRASKA,PERCENT_UNWEIGHTED,2019-06-22 00:00:00,2020-07-25 00:00:00,49,155.110029,1.02929,0.89608,1.00604,0.778458,0.981392,1.03746,0.768945,0.827653,0.899805,1.36572,1.45747,1.08568,1.40331,1.28162,1.584,1.62049,1.85789,2.30471,2.12993,2.07411,2.36472,2.68822,3.49316,5.18686,4.84591,5.74106,6.15027,10.2772,8.20282,6.49802,5.81837,5.32457,4.76562,5.00573,5.17448,5.0326,4.88163,4.74006,5.72947,5.75028,3.32484,2.49452,2.35877,1.83824,1.28822,1.0608,1.19149,0.862397,0.89739,0.658307,0.735886,0.556793,0.561167,0.429705,0.606824,0.756185,0.628705,0.798687,,,15
ILI,NEBRASKA,PERCENT_UNWEIGHTED,2020-05-30 00:00:00,2021-03-27 00:00:00,35,39.562043,0.658307,0.735886,0.556793,0.561167,0.429705,0.606824,0.756185,0.628705,0.798687,0.83682,1.07194,1.05541,0.952803,1.0317,0.881698,1.04094,0.89465,1.02957,1.14873,1.20549,1.11067,0.923432,1.33262,1.38705,1.34323,1.15711,1.37492,1.10651,0.937035,0.796776,1.1231,1.04635,0.894501,0.858734,0.890608,0.765399,0.772798,0.47474,0.767873,0.583378,0.76693,0.688953,0.755931,0.821385,,,,,,,,,,,,,,,,,16
ILI,NEBRASKA,PERCENT_UNWEIGHTED,2021-01-30 00:00:00,2021-11-13 00:00:00,33,66.81981,0.765399,0.772798,0.47474,0.767873,0.583378,0.76693,0.688953,0.755931,0.821385,1.22751,1.11516,0.937925,1.01261,0.871648,1.15779,1.22819,1.49925,1.43311,2.27203,1.5115,1.75246,1.5234,1.34494,1.46509,1.6974,1.87095,2.0282,2.26114,2.16353,2.47373,2.88819,2.67029,2.70174,2.14618,2.04291,2.28161,2.1225,1.97332,2.13754,2.57089,2.0515,1.98819,,,,,,,,,,,,,,,,,,,17
ILI,NEBRASKA,PERCENT_UNWEIGHTED,2021-09-18 00:00:00,2022-04-02 00:00:00,20,77.29504,2.14618,2.04291,2.28161,2.1225,1.97332,2.13754,2.57089,2.0515,1.98819,2.38732,2.88297,3.08425,2.8895,2.96015,3.82622,5.1965,3.96333,3.85161,3.14018,2.047,2.18813,1.99909,2.23731,2.11235,2.48264,2.73962,2.53243,2.57334,2.88646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
ILI,NEBRASKA,PERCENT_UNWEIGHTED,2022-02-05 00:00:00,2022-08-06 00:00:00,18,54.805240000000005,2.18813,1.99909,2.23731,2.11235,2.48264,2.73962,2.53243,2.57334,2.88646,2.59087,2.50976,2.58981,2.38217,2.11046,2.08261,2.00417,1.4932,2.10038,1.48444,1.17202,1.44778,1.3203,1.2933,1.55015,1.4658,1.79081,1.66584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
ILI,NEBRASKA,PERCENT_UNWEIGHTED,2023-06-24 00:00:00,2024-08-10 00:00:00,51,168.12164400000003,1.13256,0.877768,0.945886,1.17008,1.02191,1.09905,0.914126,0.858484,1.1117,1.3535,1.62937,1.97667,1.68982,1.48553,1.69513,1.8404,2.00765,2.09493,2.2682,2.46945,2.76708,2.71241,3.18904,3.1289,3.38953,4.04429,4.5743,5.49694,4.9758,4.45973,3.79889,3.8916,4.90219,5.99882,6.14614,7.76845,7.82123,6.96411,6.39201,5.07729,4.89595,4.36569,3.7019,3.37072,3.03106,2.36115,2.18153,2.1659,1.84184,1.59299,1.18097,1.21416,1.05624,0.983349,0.993141,1.18408,1.11606,1.15245,1.25774,1.33376,20
ILI,NEBRASKA,PERCENT_UNWEIGHTED,2024-06-15 00:00:00,2025-05-31 00:00:00,42,150.21113,1.21416,1.05624,0.983349,0.993141,1.18408,1.11606,1.15245,1.25774,1.33376,1.28645,1.53246,1.80476,1.94621,1.95774,1.85602,1.75483,2.05978,2.27366,2.09893,1.97276,2.05312,2.14911,2.24159,2.28404,2.73319,3.07375,3.22925,5.12335,8.25252,7.35885,6.10558,6.55225,7.93809,9.46912,9.52217,9.30201,6.70227,5.04621,4.10227,2.85376,2.63216,2.27677,1.76221,1.73931,1.9955,1.71994,1.15816,,,,,,,,,,,,,,21
COVID-19,NM,HOSPITALIZATIONS,2021-03-20 00:00:00,2021-07-24 00:00:00,10,2323.0,136.0,108.0,106.0,109.0,119.0,125.0,154.0,246.0,157.0,159.0,139.0,97.0,93.0,96.0,77.0,82.0,103.0,86.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
COVID-19,NM,HOSPITALIZATIONS,2021-05-29 00:00:00,2022-05-21 00:00:00,43,15284.0,139.0,97.0,93.0,96.0,77.0,82.0,103.0,86.0,131.0,157.0,219.0,304.0,371.0,435.0,451.0,375.0,392.0,307.0,333.0,349.0,341.0,427.0,465.0,452.0,485.0,519.0,476.0,551.0,537.0,439.0,418.0,418.0,490.0,604.0,709.0,682.0,658.0,466.0,314.0,245.0,165.0,137.0,103.0,84.0,68.0,43.0,52.0,58.0,51.0,46.0,76.0,108.0,,,,,,,,,23
COVID-19,NM,HOSPITALIZATIONS,2022-03-26 00:00:00,2022-11-05 00:00:00,24,4588.0,84.0,68.0,43.0,52.0,58.0,51.0,46.0,76.0,108.0,124.0,138.0,145.0,196.0,244.0,250.0,208.0,233.0,238.0,235.0,208.0,214.0,178.0,149.0,158.0,148.0,86.0,125.0,104.0,87.0,99.0,148.0,132.0,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
COVID-19,NM,HOSPITALIZATIONS,2022-09-10 00:00:00,2023-03-25 00:00:00,20,3856.0,148.0,86.0,125.0,104.0,87.0,99.0,148.0,132.0,155.0,170.0,213.0,233.0,237.0,208.0,180.0,151.0,168.0,105.0,118.0,110.0,106.0,83.0,79.0,92.0,83.0,116.0,104.0,95.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
COVID-19,NM,HOSPITALIZATIONS,2023-01-28 00:00:00,2023-08-12 00:00:00,20,2038.0,106.0,83.0,79.0,92.0,83.0,116.0,104.0,95.0,121.0,108.0,109.0,113.0,121.0,87.0,91.0,80.0,59.0,54.0,38.0,23.0,33.0,37.0,28.0,30.0,30.0,25.0,27.0,25.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
COVID-19,NM,HOSPITALIZATIONS,2024-06-22 00:00:00,2024-10-12 00:00:00,8,140.0,5.0,5.0,8.0,10.0,10.0,8.0,13.0,7.0,7.0,17.0,7.0,14.0,9.0,2.0,4.0,2.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
COVID-19,NM,HOSPITALIZATIONS,2024-08-17 00:00:00,2025-05-31 00:00:00,33,2085.0,7.0,17.0,7.0,14.0,9.0,2.0,4.0,2.0,12.0,17.0,25.0,18.0,91.0,82.0,119.0,122.0,127.0,144.0,134.0,147.0,165.0,132.0,106.0,75.0,57.0,64.0,38.0,54.0,36.0,40.0,19.0,25.0,39.0,33.0,29.0,22.0,25.0,26.0,,,,,,,,,,,,,,,,,,,,,,,28
RSV,MD,HOSPITALIZATIONS,2024-06-08 00:00:00,2025-05-31 00:00:00,43,2170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,17.0,75.0,67.0,99.0,113.0,125.0,179.0,199.0,183.0,262.0,154.0,127.0,83.0,90.0,101.0,47.0,58.0,34.0,33.0,19.0,24.0,29.0,15.0,13.0,7.0,6.0,5.0,,,,,,,,,,,,,29
COVID-19,CAMEROON,CASES,2020-09-12 00:00:00,2021-08-28 00:00:00,42,63821.0,405.0,422.0,304.0,189.0,279.0,238.0,129.0,223.0,549.0,350.0,836.0,589.0,635.0,391.0,581.0,553.0,571.0,0.0,1162.0,1607.0,0.0,1777.0,704.0,1651.0,1965.0,0.0,4908.0,0.0,7047.0,9668.0,4394.0,3078.0,1189.0,6252.0,2696.0,0.0,2787.0,1196.0,0.0,1161.0,238.0,159.0,371.0,0.0,609.0,536.0,61.0,0.0,390.0,0.0,971.0,,,,,,,,,,30
COVID-19,CAMEROON,CASES,2021-07-03 00:00:00,2022-01-15 00:00:00,20,29179.0,371.0,0.0,609.0,536.0,61.0,0.0,390.0,0.0,971.0,785.0,0.0,1204.0,0.0,6889.0,3096.0,3003.0,1887.0,2210.0,1849.0,1842.0,0.0,604.0,354.0,401.0,113.0,789.0,916.0,299.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
COVID-19,CAMEROON,CASES,2021-11-20 00:00:00,2022-06-18 00:00:00,22,13757.0,0.0,604.0,354.0,401.0,113.0,789.0,916.0,299.0,0.0,4447.0,0.0,2605.0,1957.0,432.0,133.0,82.0,0.0,92.0,130.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
COVID-19,CAMEROON,CASES,2022-04-23 00:00:00,2022-10-22 00:00:00,18,1872.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,55.0,66.0,0.0,0.0,0.0,147.0,0.0,752.0,0.0,685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
COVID-19,CAMEROON,CASES,2022-08-27 00:00:00,2023-02-11 00:00:00,16,3026.0,685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1977.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
SCARLET FEVER,OKLAHOMA,CASES,1928-07-14 00:00:00,1929-02-23 00:00:00,24,958.0,9.0,7.0,3.0,12.0,2.0,14.0,9.0,17.0,7.0,12.0,19.0,35.0,44.0,33.0,46.0,29.0,32.0,31.0,60.0,45.0,66.0,63.0,42.0,31.0,41.0,23.0,21.0,33.0,38.0,40.0,27.0,37.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
SCARLET FEVER,OKLAHOMA,CASES,1928-12-29 00:00:00,1929-08-31 00:00:00,27,904.0,41.0,23.0,21.0,33.0,38.0,40.0,27.0,37.0,30.0,45.0,31.0,44.0,20.0,48.0,49.0,24.0,44.0,24.0,19.0,27.0,37.0,16.0,12.0,22.0,23.0,11.0,20.0,13.0,10.0,8.0,5.0,6.0,16.0,7.0,17.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,36
SCARLET FEVER,OKLAHOMA,CASES,1930-07-12 00:00:00,1931-03-28 00:00:00,29,1099.0,8.0,4.0,10.0,10.0,6.0,5.0,4.0,3.0,10.0,15.0,8.0,23.0,41.0,27.0,38.0,38.0,36.0,28.0,46.0,65.0,48.0,44.0,34.0,31.0,55.0,51.0,38.0,44.0,29.0,38.0,30.0,28.0,23.0,29.0,37.0,38.0,40.0,37.0,,,,,,,,,,,,,,,,,,,,,,,37
